"party_name","votes_local","dep_number","oblast","percent_local","votes_parlam","percent_parlam","difference","max_value","max_percent"
"Слуга народу",33791,8,"Тернопільська область",23.2433845328417,137200,53.3061881024629,-103409,137200,53.3061881024629
"Батьківщина",32485,8,"Тернопільська область",22.3450429566856,53272,20.6977204999592,-20787,53272,22.3450429566856
"Опозиційна платформа - за життя",3717,0,"Тернопільська область",2.55676542004003,7408,2.87822333427875,-3691,7408,2.87822333427875
"Опозиційна платформа - за життя",130901,29,"Харківська область",43.8526375032663,271268,29.558842438124,-140367,271268,43.8526375032663
"Слуга народу",78307,17,"Харківська область",26.2333250698488,436452,47.5581930039816,-358145,436452,47.5581930039816
"Європейська солідарність",49412,11,"Харківська область",16.5533229258095,50645,5.51855572820527,-1233,50645,16.5533229258095
"Партія Шарія",27141,0,"Харківська область",9.09240139094545,43454,4.7349851044216,-16313,43454,9.09240139094545
"Батьківщина",12741,0,"Харківська область",4.26831311012991,36412,3.96765033419707,-23671,36412,4.26831311012991
"Опозиційна платформа - за життя",48775,15,"Херсонська область",38.7586119212034,64739,21.2671808888071,-15964,64739,38.7586119212034
"Слуга народу",36283,11,"Херсонська область",28.831957280103,179046,58.8177708864419,-142763,179046,58.8177708864419
"Європейська солідарність",22674,7,"Херсонська область",18.0176887073576,21641,7.10920869359544,1033,22674,18.0176887073576
"Батьківщина",18111,6,"Херсонська область",14.391742091336,19064,6.26264749940869,-953,19064,14.391742091336
"Слуга народу",55444,10,"Хмельницька область",38.9209072466006,245135,65.2984627351115,-189691,245135,65.2984627351115
"Європейська солідарність",37862,7,"Хмельницька область",26.5785908334679,36313,9.67296827176904,1549,37862,26.5785908334679
"Батьківщина",34502,7,"Хмельницька область",24.2199181484419,55929,14.8982304538807,-21427,55929,24.2199181484419
"Опозиційна платформа - за життя",14645,0,"Хмельницька область",10.2805837714895,28044,7.47029224281913,-13399,28044,10.2805837714895
"Слуга народу",45338,12,"Черкаська область",36.9979272412724,252599,67.640758136471,-207261,252599,67.640758136471
"Європейська солідарність",33461,9,"Черкаська область",27.3057400727914,31835,8.52475083145442,1626,33461,27.3057400727914
"Батьківщина",24057,7,"Черкаська область",19.6316365001387,45696,12.2364383224169,-21639,45696,19.6316365001387
"Опозиційна платформа - за життя",19686,6,"Черкаська область",16.0646961857975,31108,8.33007535306687,-11422,31108,16.0646961857975
"Слуга народу",31354,12,"Чернівецька область",34.4156129258869,144927,64.215927368435,-113573,144927,64.215927368435
"Батьківщина",23149,9,"Чернівецька область",25.4094221988058,29362,13.0100537470036,-6213,29362,25.4094221988058
"Європейська солідарність",22217,9,"Чернівецька область",24.3864155251142,19201,8.50780062653144,3016,22217,24.3864155251142
"Опозиційна платформа - за життя",14384,6,"Чернівецька область",15.7885493501932,25371,11.2416754177245,-10987,25371,15.7885493501932
"Слуга народу",38235,8,"Чернігівська область",36.637951686007,193996,58.3341351936493,-155761,193996,58.3341351936493
"Батьківщина",24883,6,"Чернігівська область",23.843655075269,62607,18.8257757998557,-37724,62607,23.843655075269
"Опозиційна платформа - за життя",21793,5,"Чернігівська область",20.8827221418373,36079,10.8488693769545,-14286,36079,20.8827221418373
"Європейська солідарність",19448,5,"Чернігівська область",18.6356710968867,25632,7.70748135674765,-6184,25632,18.6356710968867
