party_name,dep_amount
"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",101
"ПОЛІТИЧНА ПАРТІЯ ""ОСНОВА""",16
"ПОЛІТИЧНА ПАРТІЯ ""ОШУКАНІ УКРАЇНЦІ""",0
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІЛЬНИХ ДЕМОКРАТІВ""",0
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІННИЧАН""",5
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВОЛОДИМИРА БУРЯКА ""ЄДНАННЯ""",11
"Політична партія ""Партія Ігоря Колихаєва ""НАМ ТУТ ЖИТИ!""",66
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ МИРУ ТА РОЗВИТКУ""",0
"Політична партія ""Партія місцевого самоврядування""",11
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ НАЦІОНАЛЬНОГО ЕГОЇЗМУ""",7
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",0
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ РОЗВИТКУ ГРОМАД""",4
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ТВОГО МІСТА""",5
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ЧЕРНІВЧАН""",0
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ШАРІЯ""",32
"Політична партія ""ПАТРІОТ""",3
"Політична партія ""Перемога Пальчевського""",44
"Політична партія ""ПОБРАТИМИ УКРАЇНИ""",0
"ПОЛІТИЧНА ПАРТІЯ ""ПОРЯДОК""",71
"ПОЛІТИЧНА ПАРТІЯ ""ПОРЯДОК. ВІДПОВІДАЛЬНІСТЬ. СПРАВЕДЛИВІСТЬ""",5
"Політична партія ""ПРАВИЙ СЕКТОР""",2
"ПОЛІТИЧНА ПАРТІЯ ""ПРОПОЗИЦІЯ""",307
"Політична партія ""Радикальна Партія Олега Ляшка""",273
"ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА""",6
"Політична партія ""Республіканська платформа""",7
"ПОЛІТИЧНА ПАРТІЯ ""РІВНЕ РАЗОМ""",7
"ПОЛІТИЧНА ПАРТІЯ ""РІДНЕ ЗАКАРПАТТЯ""",225
"Політична партія ""Рідне місто""",117
"ПОЛІТИЧНА ПАРТІЯ ""РІДНИЙ ДІМ""",266
"Політична партія ""РОЗУМНА СИЛА""",5
"ПОЛІТИЧНА ПАРТІЯ ""РУХ СПРАВЕДЛИВОСТІ""",0
"Політична Партія ""САМОВРЯДНА УКРАЇНСЬКА ДЕРЖАВА""",7
"Політична партія ""Сила і Честь""",345
"Політична партія ""Сила Людей""",69
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",3486
"Політична партія ""Солідарність жінок України""",2
"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛ-ДЕМОКРАТИЧНА ПАРТІЯ""",2
"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА""",0
"Політична партія ""Союз Лівих Сил""",0
"ПОЛІТИЧНА ПАРТІЯ ""СПРАВА""",0
"Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",101
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА СЛАВЕТНА""",16
"Політична партія ""Українська Галицька Партія""",145
"Політична партія ""Українська православна асамблея""",1
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",342
"ПОЛІТИЧНА ПАРТІЯ ""УСПІШНА УКРАЇНА""",0
"ПОЛІТИЧНА ПАРТІЯ ""ХЕРСОНЦІ""",0
Самовисування,5760
Українська морська партія Сергія Ківалова,3
Українська Народна Партія,18
Українська партія,7
"Українська партія честі, боротьби з корупцією та організованою злочинністю",0
Українська республіканська партія,4
